Episode,Step,Hour,DER1_P_MW,DER2_P_MW,DER3_P_MW,DER4_P_MW,BESS_P_MW,BESS_SOC,Load_Bus4_P_MW,Load_Bus5_P_MW,Load_Bus6_P_MW,Load_Bus7_P_MW,Load_Bus3_P_MW,DER1_Voltage,DER2_Voltage,DER3_Voltage,DER4_Voltage,Grid_Power_MW,Secondary_Rewards,Overall_Reward,Current_Buy_Price,Current_Sell_Price
1,0,0,0.0,0.0,24.58575892088659,23.939000555867,25.0,1.0,8.967215561484505,8.773361131339605,3.2931875557816257,3.327099501127933,4.412675834262158,0.9298463425782056,0.9112190175471774,0.9523622557752961,0.9566140336812442,7.16296596013829,10.8,-66.96490719615043,10.0,5.0
1,1,1,0.0,0.0,21.81038431234012,17.301341515626994,0.0,1.0,7.249464800939387,7.428950409390723,2.7659475118639794,2.6142406067913484,3.622695335286266,0.9632580481146747,0.9600160220679321,0.981877951602969,0.9841292699462686,-14.54584310189107,10.8,77.73809825117567,10.0,5.0
1,2,2,0.0,0.0,22.241577407642893,14.486047292380274,0.0,1.0,7.104019190238805,7.025787850189694,2.739050016318437,2.5685132057283186,3.715206702363046,0.9326612754920266,0.9264555681135123,0.9498747714661637,0.9526344538935777,-12.691159406398643,10.8,68.48852078499299,10.0,5.0
1,3,3,0.0,0.0,20.73287491359546,21.39057690359846,0.0,1.0,6.938381264527279,7.485821398322395,2.620525554379117,2.6722596559351426,3.6604721903198043,0.9265926834473103,0.923394165962255,0.9481260564668199,0.9511087211770883,-17.534781666358104,10.6,87.40267381361858,10.0,5.0
1,4,4,0.0,0.0,27.873207890046242,27.71025879238788,0.0,1.0,7.328266453097306,7.041553190740138,2.7275899993916086,2.7233457380929362,3.6510234200003446,0.9137736787920335,0.9116527860542527,0.9444510033629951,0.9493391300901857,-29.84864751100308,10.8,154.08740288819106,10.0,5.0
1,5,5,0.0,0.0,20.615712964702833,20.189321537357664,0.0,1.0,7.230568906083704,7.4798562551896275,2.7434231473355695,2.678891517903139,3.6409731219368795,0.9277175242375318,0.9244205389942561,0.9481386594051122,0.951812677433219,-15.926574053639023,10.8,84.62481992317451,10.0,5.0
1,6,6,3.6150126457214355,6.386974334716797,28.195142801205385,28.160479993210306,0.0,1.0,7.799085918907278,7.400009555137951,2.7951797937760796,2.877338486311904,3.651129915046032,0.9408988819111308,0.9424464077006165,0.9714065125824959,0.9753696489583629,-39.5221532108775,10.8,202.34718995663894,10.0,5.0
1,7,7,7.498764991760254,7.4384765625,14.324497132962513,17.596089678406415,0.0,1.0,9.407717725946696,9.19847729783184,3.3378909284526097,3.576749433556995,4.789026844874959,0.929341193299865,0.9281993653714125,0.9386909463688394,0.9410920337614399,-15.847543515451447,10.8,84.16913929360094,10.0,5.0
1,8,8,8.283490180969238,3.4691779613494873,28.264081608130645,28.396071386724774,0.0,1.0,9.43746407869903,9.508141309263339,3.48092339442463,3.536873617367251,4.715552705271571,0.9445766964411759,0.9430719966791502,0.9737500475601525,0.9777402808364739,-35.597948708764065,10.6,177.4556153324486,10.0,5.0
1,9,9,9.099637031555176,9.048053741455078,18.000073421003524,17.126029881885273,0.0,1.0,9.119818895542885,9.226217180650872,3.3950566722042117,3.730005685377447,4.9086238760543575,0.9256807467670846,0.9262716082262273,0.9414792373358808,0.943797880006214,-22.05644926118678,10.8,115.14950836517492,10.0,5.0
1,10,10,9.50748062133789,9.216485977172852,26.67438499040592,27.10754263908262,0.0,1.0,9.327537978855363,9.538036309241985,3.550612259069141,3.543258405482399,4.625486336162008,0.9023119809230373,0.9007575563371129,0.9307002522775101,0.935562226335617,-39.594916615908566,10.8,202.64952413726286,10.0,5.0
1,11,11,9.834278106689453,9.83964729309082,19.90317725323494,19.967037295464703,0.0,1.0,9.288032036226035,9.582655416488432,3.6387612817708592,3.5423372611723543,4.817578565706222,0.9203557504111212,0.9182805299868588,0.9388906739576149,0.9416731463564093,-27.491886419739643,10.6,137.01399069921342,10.0,5.0
1,12,12,9.897815704345703,9.999832153320312,19.5282346305074,19.435745786157245,0.0,1.0,9.526962180264723,9.10968558897747,3.606975150281208,3.584511029461487,4.7584724099944555,0.9567211914887802,0.9581425587797491,0.9744056065450758,0.9778647190676991,-27.307791460460678,10.8,141.3503410195601,10.0,5.0
1,13,13,2.2524311542510986,9.844266891479492,27.119709330190325,26.926381274937363,0.0,1.0,9.694711994867136,9.319759595327598,3.6724712280484257,3.5069225568899762,4.8244602585545,0.9136487293326833,0.912901489892179,0.9417612150503678,0.9456500322446761,-33.00300266400073,10.8,169.7535854334951,10.0,5.0
1,14,14,9.596976280212402,9.195539474487305,24.167234080329617,23.994970568595313,0.0,1.0,9.658591362983387,9.75455092892022,3.7227236224155993,3.663795020230296,4.9641231886211985,0.9489921341481904,0.9501631593400889,0.9727342384514813,0.9760464175559567,-33.64284470543745,10.8,172.944676323151,10.0,5.0
1,15,15,8.962372779846191,9.099983215332031,21.096705955997052,28.01420811039606,0.0,1.0,9.711469773802479,9.663794418193381,3.4836921688820204,3.639674562845879,4.6936177634055,0.9511370257611412,0.9526163719180774,0.97542585222281,0.9802074845490252,-34.35505128237747,10.8,176.50352371127164,10.0,5.0
1,16,16,8.393115997314453,8.020462036132812,19.9362671369871,20.52354583567578,0.0,1.0,9.649442048545906,9.582482055650075,3.6469609276003374,3.5018265105327666,4.733737051480149,0.9259330937668195,0.9262823937898294,0.9449645479567461,0.9478183157557029,-24.672862329137324,10.8,128.19557773562553,10.0,5.0
1,17,17,6.871462821960449,7.499762535095215,21.296030944418852,21.38984858000778,0.0,1.0,9.557663240327237,9.685496862933595,3.537620427006137,3.5821722093607855,4.75034757367592,0.9218501662857758,0.9211588064535825,0.938608383338868,0.9416205722506102,-24.65438894529724,10.6,125.35137367767138,10.0,5.0
1,18,18,6.398252964019775,6.240101337432861,25.803153807516477,25.681494717935024,0.0,1.0,21.51046920013992,21.732020233023178,8.132279586777535,8.267630931954214,10.598953792770603,0.9296206293489312,0.9212033433860631,0.9468938957502226,0.9514471444337116,7.09506535721735,10.8,-66.19188360044254,10.0,5.0
1,19,19,0.0,0.0,17.296144749293102,19.156123509324953,0.0,1.0,21.134864182605774,21.260071030132742,8.017376381608178,8.046095872121361,10.809825684645885,0.9170870322367429,0.9033462480499321,0.9199118604787674,0.9226178865564174,33.65327980407559,10.8,-331.49732072334206,10.0,5.0
1,20,20,0.0,0.0,17.912361732441735,24.352022536408512,0.0,1.0,20.876354214312755,20.94973365869515,7.824587077602303,7.881522999719743,10.778868646024904,0.9569237697733632,0.9449193112700041,0.9675586390187344,0.9709441269882882,26.81503046813535,10.8,-263.17294852404206,10.0,5.0
1,21,21,0.0,0.0,14.742636272356673,12.509778197719847,0.0,1.0,21.18156158260738,20.04554238775052,7.71557523382163,7.974973022762757,10.71316809430257,0.9459940835116275,0.9333244771477003,0.9461876720604548,0.9477558238263122,40.9775397694585,10.8,-404.6479218392858,10.0,5.0
1,22,22,0.0,0.0,8.33983032671662,18.05430453999048,0.0,1.0,21.361246187146982,20.399297383716885,7.963949060660784,7.57843669372091,10.419546884341445,0.86827096515953,0.8505905695744169,0.8669920383430195,0.8696693622938985,42.25750671140849,-10.0,-423.33900846275196,10.0,5.0
2,0,0,0.0,0.0,15.45457703472631,23.518760257336154,0.0,1.0,8.990395335538906,8.757878770397229,3.2675854770082635,3.2338500473205376,4.480856292263876,0.930031535694289,0.9257257255054345,0.947824209155572,0.9520293035705949,-9.322939906357332,10.8,51.62496615886604,10.0,5.0
2,1,1,0.0,0.0,12.124341483151339,16.211453545964297,0.0,1.0,7.249464800939387,7.428950409390723,2.7659475118639794,2.6142406067913484,3.622695335286266,0.9324425565479245,0.9251368598226221,0.943670106729675,0.9458367712721856,-4.111910991585446,10.6,20.426197007636073,10.0,5.0
2,2,2,0.0,0.0,22.121068105827128,15.254828043907207,0.0,1.0,7.104019190238805,7.025787850189694,2.739050016318437,2.5685132057283186,3.715206702363046,0.929317796439708,0.9228617536523144,0.9469842711164951,0.9498751821912813,-13.287082103883504,10.6,66.21165155792018,10.0,5.0
2,3,3,0.0,0.0,24.465866269374775,20.869012208139765,0.0,1.0,6.938381264527279,7.485821398322395,2.620525554379117,2.6722596559351426,3.6604721903198043,0.9242183144094931,0.9212243010911343,0.9479936485232939,0.9508934525399515,-20.538947383259032,10.8,107.64138813152002,10.0,5.0
2,4,4,0.0,0.0,10.848321024940653,18.5164562829174,0.0,1.0,7.328266453097306,7.041553190740138,2.7275899993916086,2.7233457380929362,3.6510234200003446,0.9662911679671751,0.9626370243205543,0.9783173740098416,0.9816207777812819,-5.418115521118054,10.8,32.196929832511685,10.0,5.0
2,5,5,0.0,0.0,19.355223212451904,20.378615714652046,0.0,1.0,7.230568906083704,7.4798562551896275,2.7434231473355695,2.678891517903139,3.6409731219368795,0.9656489832176404,0.9626818318858626,0.9846662841617374,0.9882343644754323,-15.033654907346103,10.8,80.17093614745947,10.0,5.0
2,6,6,6.3594841957092285,6.390215873718262,28.58469091149089,24.6022013592207,0.0,1.0,7.799085918907278,7.400009555137951,2.7951797937760796,2.877338486311904,3.651129915046032,0.9077449094679211,0.909401456122121,0.93717900248453,0.940712907810221,-39.15538376832356,10.8,200.5175529182164,10.0,5.0
2,7,7,7.496381759643555,4.648116111755371,18.832772273624432,18.209446685163595,0.0,1.0,9.407717725946696,9.19847729783184,3.3378909284526097,3.576749433556995,4.789026844874959,0.9274996345089886,0.922349410532757,0.9435375417119363,0.9460248672130359,-17.9863706343439,10.8,94.83998600341762,10.0,5.0
